mass_ratio chirp_mass luminosity_distance dec ra theta_jn psi chi_1 chi_2 time_jitter
0.5033441261375726 28.15823929487552 715.7991109220902 0.03906354731586185 1.9798213979861554 0.7343670930331043 1.4290366161886223 0.1952283601835418 -0.08152844710758034 0.00010601587507930491
0.8085184210688845 29.432845045335384 1767.1342638025899 0.5118926175454116 2.0603609146876525 2.774945539311565 2.793118740169467 0.24411230374779413 -0.002295618529051752 1.631352024365247e-05
0.9675721731521548 31.827125228235083 1057.1902259963567 1.0014969560072187 2.363783037219159 1.2154217315788274 2.6937182388126795 0.5705186890948303 0.028616856702030995 -0.0002351899803299025
0.4836844675187836 25.747309247200853 1045.4927185312658 -0.5449777576175397 6.110963598390694 0.7004752782509527 1.5124144488246714 -0.09815996569796862 0.11925428481357182 0.00023461956680015806
0.8430772881731966 28.699529481004493 818.7211728344753 -0.7009264506991816 0.08553250292612041 1.240814882843157 0.15179247978127208 0.26017723375729784 -0.07680274216707336 2.8080145106536476e-05
0.5237501249864007 28.05245186991988 788.170956779918 -0.47672893676890427 6.03794598160329 1.3939566015784235 0.003306861920739541 0.32561428991189884 -0.0901971457632658 -7.081999657540915e-05
0.6396662393074319 29.056816565479608 1797.8873242418802 -0.48080646054443804 6.151619236227335 0.2766896984703159 3.0387144695326778 0.3720883392947049 0.18314197699330143 0.00011293034243442323
0.8154790428866046 26.056761487870396 787.3869816848819 -0.6999081961583298 0.060937488234421196 1.889612282652802 0.10527994738153539 -0.021394101034106543 -0.012949147927072671 2.4919022127496324e-05
0.45738237224449985 26.139138863805965 803.3843492769768 1.331801321883732 3.011535075470767 2.3837424504162437 1.8447815059618127 -0.030558273708757244 -0.031640649657776944 -0.00013432648426897173
0.8686257811537166 28.32229645529192 816.4090843970049 0.04797751306833175 1.9143559661584926 1.3781282115032283 2.4385941883572615 0.29082205741926376 -0.09855201401093329 0.00021593679869309188
0.8755161604487713 25.373500513953424 1061.6120551104216 -0.6655665833877231 0.23236339851271623 2.14161103439985 1.8671988595731495 0.0983958290908838 -0.1772635576901207 0.0002021242545436465
0.8713305611055862 27.2222409103879 1019.1005677049216 -0.17924828281499958 1.915084168894623 0.3663571821516799 0.18612740532354285 -0.37048356498163343 0.503034435356897 -0.00018914863669414745
0.8675533970709814 27.620198693726582 910.4424246818611 -0.7645019419136648 0.9798414105913893 0.4508653191574469 0.03159179706422252 -0.2321160028163185 0.24902760492281756 1.7414525489584565e-05
0.7014095423550696 25.80396725554582 826.3254437594524 -0.5919930240495056 0.1401971207487396 2.279410157420725 0.9711598164297459 0.045254440764609376 -0.036621372818036284 -0.0001356925311371436
0.7633634291672169 25.06871338504662 1876.8007715408528 -0.2929139906271295 5.977702782837895 0.23432976312699672 0.39531291825901493 0.1516629267282586 -0.5398374436251732 0.0001430688705515873
0.5874411324696106 28.665137117682132 903.5834515296737 0.4524159519948526 2.019867986611647 2.085352155028716 2.893974572921385 0.19760233646019162 0.21068470568766265 -2.9333301200458467e-05
0.681384416807001 27.80148015455896 859.4226438227382 0.9059019009816345 2.2656438119003806 1.7055211951960279 2.2939857202687644 0.07780780738318196 0.44405223578831293 3.825206311017617e-05
0.5877368890477194 26.360531577634138 599.7558915631909 1.195312218172526 2.767860631790289 1.6990196776081723 1.2533528556509068 -0.022971641009698035 0.04139370764184382 -0.0002437613440367156
